ProductID,ProductName,CategoryID,CostPrice,SellingPrice
101,Product_101,4.0,1213.19,1425.02
102,Product_102,5.0,158.1,176.49
103,Product_103,3.0,1480.99,1979.13
104,Product_104,5.0,1169.75,1603.76
105,Product_105,5.0,338.14,374.2
106,Product_106,2.0,58.01,-500.0
107,Product_107,3.0,1232.42,1467.32
108,Product_108,3.0,1074.94,1459.84
109,Product_109,3.0,1107.06,1294.98
110,Product_110,5.0,1168.34,1608.07
111,Product_111,4.0,157.36,197.44
112,Product_112,3.0,569.78,840.25
113,Product_113,99.0,218.01,251.8
114,Product_114,5.0,1301.5,1609.21
115,Product_115,2.0,953.78,1092.45
116,Product_116,4.0,0.0,778.74
117,Product_117,99.0,142.16,206.27
118,Product_118,99.0,500.92,602.7
119,Product_119,2.0,521.52,711.35
120,Product_120,4.0,1107.93,1580.89
121,Product_121,5.0,974.46,1288.31
122,Product_122,1.0,1336.46,1753.25
123,Product_123,4.0,734.71,879.26
124,Product_124,2.0,223.41,254.07
125,Product_125,99.0,1084.2,1581.72
126,Product_126,,1153.14,1683.78
127,Product_127,4.0,863.85,1169.0
128,Product_128,1.0,1167.9,1443.07
129,Product_129,1.0,766.0,949.6
130,Product_130,3.0,807.96,1123.37
131,Product_131,3.0,669.93,977.32
132,Product_132,2.0,86.86,126.37
133,Product_133,4.0,206.44,291.48
134,Product_134,4.0,95.57,129.67
135,Product_135,99.0,972.8,1102.82
136,Product_136,99.0,505.82,589.1
137,Product_137,99.0,787.43,1149.19
138,Product_138,3.0,1365.97,1833.91
139,Product_139,4.0,411.47,454.13
140,Product_140,4.0,645.06,735.75
141,Product_141,1.0,1145.55,1564.13
142,Product_142,3.0,381.76,420.71
143,Product_143,5.0,161.62,188.18
144,Product_144,3.0,470.14,620.35
145,Product_145,5.0,283.77,390.68
146,Product_146,1.0,1398.06,1902.46
147,Product_147,2.0,1221.77,1453.55
148,Product_148,4.0,968.44,1341.17
149,Product_149,1.0,1313.62,1569.64
150,Product_150,4.0,1215.32,1495.04
151,Product_151,99.0,320.53,448.29
152,Product_152,2.0,1344.21,1827.93
153,Product_153,2.0,832.05,1197.89
154,Product_154,1.0,1220.79,1663.99
155,Product_155,2.0,1349.33,1791.0
156,Product_156,5.0,511.11,581.37
157,Product_157,2.0,209.58,261.36
158,Product_158,4.0,380.51,458.93
159,Product_159,4.0,669.31,801.56
160,Product_160,4.0,1236.12,1840.84
161,Product_161,4.0,1298.06,1631.97
162,Product_162,5.0,60.08,87.53
163,Product_163,3.0,790.58,1069.22
164,Product_164,99.0,655.25,929.1
165,Product_165,1.0,372.06,484.07
166,Product_166,4.0,223.8,297.82
167,Product_167,2.0,539.54,699.79
168,Product_168,4.0,1417.22,1669.62
169,Product_169,2.0,518.64,720.38
170,Product_170,99.0,802.25,972.57
171,Product_171,99.0,1069.38,1186.72
172,Product_172,99.0,577.26,784.03
173,Product_173,2.0,1459.08,1708.36
174,Product_174,4.0,1445.55,2133.9
175,Product_175,99.0,415.08,614.97
176,Product_176,5.0,771.01,1130.26
177,Product_177,2.0,486.27,606.9
178,Product_178,2.0,463.02,512.18
179,Product_179,4.0,103.49,152.27
180,Product_180,2.0,933.87,1187.2
181,Product_181,2.0,778.88,1157.93
182,Product_182,99.0,124.64,185.15
183,Product_183,4.0,454.04,654.36
184,Product_184,99.0,1366.99,1664.69
185,Product_185,99.0,397.36,498.3
186,Product_186,4.0,260.1,374.66
187,Product_187,1.0,759.71,931.99
188,Product_188,99.0,1479.19,1727.39
189,Product_189,5.0,400.98,530.38
190,Product_190,5.0,1024.6,1510.73
191,Product_191,2.0,1154.35,1591.17
192,Product_192,5.0,394.57,524.0
193,Product_193,2.0,1105.91,1259.49
194,Product_194,1.0,583.29,785.11
195,Product_195,4.0,966.84,1446.41
196,Product_196,4.0,968.62,1119.76
197,Product_197,4.0,826.87,1080.99
198,Product_198,5.0,180.92,262.51
199,Product_199,1.0,1261.19,1761.01
200,Product_200,5.0,515.13,710.26
