EmployeeID,EmployeeName,StoreID
1001,Emp_1001,3
1002,Emp_1002,5
1003,Emp_1003,2
1004,Emp_1004,2
1005,Emp_1005,3
1006,Emp_1006,2
1007,Emp_1007,1
1008,Emp_1008,5
1009,Emp_1009,4
1010,Emp_1010,2
1011,Emp_1011,1
1012,Emp_1012,4
1013,Emp_1013,5
1014,Emp_1014,4
1015,Emp_1015,1
1016,Emp_1016,4
1017,Emp_1017,3
1018,Emp_1018,4
1019,Emp_1019,2
1020,Emp_1020,2
1021,Emp_1021,3
1022,Emp_1022,1
1023,Emp_1023,2
1024,Emp_1024,5
1025,Emp_1025,2
1026,Emp_1026,2
1027,Emp_1027,1
1028,Emp_1028,4
1029,Emp_1029,2
1030,Emp_1030,3
1031,Emp_1031,4
1032,Emp_1032,5
1033,Emp_1033,1
1034,Emp_1034,5
1035,Emp_1035,4
1036,Emp_1036,4
1037,Emp_1037,4
1038,Emp_1038,5
1039,Emp_1039,4
1040,Emp_1040,5
1041,Emp_1041,4
1042,Emp_1042,3
1043,Emp_1043,4
1044,Emp_1044,5
1045,Emp_1045,2
1046,Emp_1046,4
1047,Emp_1047,2
1048,Emp_1048,3
1049,Emp_1049,1
1050,Emp_1050,3
